graphite_wt%,carbon_black_wt%,CMC_wt%,SBR_wt%,solvent_wt%,yield_stress,viscosity
21.79182672,4.324788356,0.66935175,1.910451602,71.30358158,2.440401002,0.644302912
22.01698625,3.744014424,0.784942513,1.801065514,71.6529913,0.6612146,0.894973003
23.20683812,4.822822184,1.668469486,3.118385465,67.18348474,9.118427466,6.10895334
23.21473919,2.373758408,1.419846185,2.508165641,70.48349057,0.110326309,1.143179177
23.24908785,4.207238404,1.27829057,3.201100857,68.06428232,3.067928082,2.65643205
23.8905272,1.007362752,1.232333533,1.67703681,72.19273971,0,0.430637341
26.38156859,1.55018295,1.113936738,2.633130111,68.32118162,0.038830907,0.696141928
27.8683858,4.323526231,1.298985871,1.939058395,64.5700437,8.383372038,3.547888503
27.89782028,3.066615203,1.652785122,2.601060774,64.78171862,3.015972659,3.726389819
28.59310237,4.919222816,1.019209716,2.742003252,62.72646184,16.33970562,3.178432697
29.71942574,2.232835936,1.971073755,3.020178466,63.05648611,3.074283617,4.93944803
29.73358007,1.254927151,0.747063548,2.240402445,66.02402679,0.037562583,0.190544226
31.80683666,2.460852901,1.798755186,2.315932671,61.61762258,2.913406086,4.621231566
33.11454325,1.696300934,1.318575084,1.90042192,61.97015881,0.548097434,1.83240235
33.51088756,1.813578138,1.57286275,2.610779454,60.49189209,1.497213313,3.515910128
